2023-12-11 17:00:40.2733|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:00:41.7334|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:00:41.7334|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:00:41.7334|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:00:41.7334|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:00:41.7334|0|INFO|Microsoft.Hosting.Lifetime|Content root path: G:\DotNetProjects\TeamTasks.Micro\TeamTasks.Micro.Identity |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-12-11 17:01:07.8285|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:01:33.1351|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:02:02.3541|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:02:27.8514|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:02:39.4649|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:02:39.4649|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:02:39.4649|0|DEBUG|Quartz.Core.JobRunShell|Calling Execute on job DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67 |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:02:39.4832|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:03:07.8554|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:03:37.6675|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:04:07.2594|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:04:33.4590|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:04:39.4596|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:04:39.4596|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:04:39.4596|0|DEBUG|Quartz.Core.JobRunShell|Calling Execute on job DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67 |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:04:39.4596|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:05:02.9288|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:05:32.4077|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:06:01.1825|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:06:16.1926|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - Sasdsfjkgkjsdsdf dfgfdg |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:06:22.0446|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - Sasdsfjkgkjsdsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:06:23.8492|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - Sasdsfjkgkjsdsdf 11.12.2023 11:06:23 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:06:25.1725|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:06:27.7193|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - Sasdsfjkgkjsdsdf 11.12.2023 11:06:27 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:06:39.4712|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:06:39.4712|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:06:39.4712|0|DEBUG|Quartz.Core.JobRunShell|Calling Execute on job DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67 |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:06:39.4712|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:07:09.1729|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:07:32.7499|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:07:58.4754|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:08:27.0787|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:08:39.4711|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.06063d0a-0fc8-4183-996f-865945e20b67', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:08:39.4711|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
