2023-12-17 11:42:45.7161|0|INFO|IdentityServer4.Startup|Starting IdentityServer4 version 4.1.2+997a6cdd643e46cd5762b710c4ddc43574cbec2e |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.Validate
2023-12-17 11:42:45.7517|0|INFO|IdentityServer4.Startup|You are using the in-memory version of the persisted grant store. This will store consent decisions, authorization codes, refresh and reference tokens in memory only. If you are using any of those features in production, you want to switch to a different store implementation. |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.Validate
2023-12-17 11:42:45.7517|0|INFO|IdentityServer4.Startup|Using the default authentication scheme Bearer for IdentityServer |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|INFO|IdentityServer4.Startup|Authentication scheme Bearer is configured for IdentityServer, but it is not a scheme that supports signin (like cookies). If you support interactive logins via the browser, then a cookie-based scheme should be used. |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for authentication |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|DEBUG|IdentityServer4.Startup|Using Identity.External as default ASP.NET Core scheme for sign-in |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|DEBUG|IdentityServer4.Startup|Using Identity.External as default ASP.NET Core scheme for sign-out |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for challenge |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:45.7517|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for forbid |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 11:42:46.2366|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-17 11:42:48.1957|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-17 11:42:48.2257|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-17 11:42:48.2257|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-17 11:42:48.2257|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-17 11:42:48.2257|0|INFO|Microsoft.Hosting.Lifetime|Content root path: G:\DotNetProjects\TeamTasks.Micro\TeamTasks.Micro.Identity |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-12-17 15:16:23.2073|0|INFO|IdentityServer4.Startup|Starting IdentityServer4 version 4.1.2+997a6cdd643e46cd5762b710c4ddc43574cbec2e |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.Validate
2023-12-17 15:16:23.2449|0|INFO|IdentityServer4.Startup|You are using the in-memory version of the persisted grant store. This will store consent decisions, authorization codes, refresh and reference tokens in memory only. If you are using any of those features in production, you want to switch to a different store implementation. |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.Validate
2023-12-17 15:16:23.2533|0|INFO|IdentityServer4.Startup|Using the default authentication scheme Bearer for IdentityServer |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|INFO|IdentityServer4.Startup|Authentication scheme Bearer is configured for IdentityServer, but it is not a scheme that supports signin (like cookies). If you support interactive logins via the browser, then a cookie-based scheme should be used. |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for authentication |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|DEBUG|IdentityServer4.Startup|Using Identity.External as default ASP.NET Core scheme for sign-in |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|DEBUG|IdentityServer4.Startup|Using Identity.External as default ASP.NET Core scheme for sign-out |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for challenge |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.2533|0|DEBUG|IdentityServer4.Startup|Using Bearer as default ASP.NET Core scheme for forbid |url: |action: |Microsoft.AspNetCore.Builder.IdentityServerApplicationBuilderExtensions.ValidateAsync
2023-12-17 15:16:23.7158|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-17 15:16:25.3162|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-17 15:16:25.3162|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-17 15:16:25.3162|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-17 15:16:25.3162|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
